epoch,dice loss,BCE loss
0,0.47008461663217255,0.2928284474394538
1,0.23664818839593368,0.09618235610877023
2,0.11871171539480035,0.047138973731886254
3,0.07452933716051506,0.03284620933912017
4,0.0545047584808234,0.02650924896200498
5,0.04800445744485566,0.025725361354874843
6,0.03945874987226544,0.021929640802695896
7,0.03315599940039895,0.01839531318877231
8,0.030098431941234703,0.017284058020309065
9,0.027622125365517357,0.016340697339425485
10,0.026407012433716744,0.01565844730728052
11,0.025730646017825966,0.015584003293153011
12,0.02355391870845448,0.014375709829795542
13,0.03428147778366551,0.02254404474727132
14,0.02849095698558923,0.017811812672086737
15,0.02334558873465567,0.014496884252311605
16,0.02213991049564246,0.013682052662426775
17,0.021184020873272057,0.013156000849311098
18,0.02121237100976886,0.013235468741957888
19,0.0200868339249582,0.012527104580041134
