epoch,dice loss,BCE loss,MSE loss
0,0.35089357874610205,0.18424841197151126,0.2813529295451713
1,0.1339332912907456,0.05625233223492449,0.13679943041819514
2,0.07179941733678182,0.0338335752938733,0.0872770044388193
3,0.05553301988225995,0.029746602628041397,0.06800442606662259
4,0.04561853499123544,0.025537135756828568,0.053381475027311935
5,0.039977044770211884,0.023161155298690905,0.0436374797965541
6,0.03995346481149847,0.02443683844511256,0.0410523165130254
7,0.03404893206827568,0.020767334735754765,0.03462832872614716
8,0.0310539829008507,0.019083498920680897,0.028986649672416123
9,0.029617431488904087,0.01840125439180569,0.026409541792941815
10,0.03099756349216808,0.019596478069257555,0.02766125982232166
11,0.02663361845594464,0.016587929292158646,0.022067753852091053
12,0.025533174926584416,0.016140441382021614,0.01931861700546561
13,0.025253874785972363,0.015918940856036814,0.01765131335141081
14,0.024912289597771385,0.01580386031701258,0.01790271805260669
15,0.02399615988586888,0.015403926400749973,0.015758919063955545
16,0.021657250144264915,0.013760469077775875,0.013348482379859144
17,0.02265285090966658,0.014472642165580482,0.013368527419074919
18,0.023490593288884018,0.015170611427024458,0.012803293552926996
19,0.024663130442301433,0.015880569942634214,0.016614429751467524
20,0.022079922033078743,0.01405499360495896,0.0
21,0.019573659607858368,0.012361515129944592,0.0
22,0.019748409589131672,0.0125885960561308,0.0
23,0.01947611209118005,0.012338186021555553,0.0
24,0.018794709082805748,0.011884623856255503,0.0
25,0.017959293994036587,0.011342745344860084,0.0
26,0.01787011460824446,0.011272103109425216,0.0
27,0.017475858782276962,0.010988435284657911,0.0
28,0.016506755893880672,0.01030267257186951,0.0
29,0.016198923190434773,0.010117080916340152,0.0
